A cheese sandwich|Un sandwich au fromage
A different coffee|Un autre café
A glass of lemonade|Un verre de limonade
A ham and cheese sandwich|Un sandwich au jambon et au fromage
A ham sandwich|Un sandwich au jambon
A lemonade|Une limonade
Another glass of red wine, please|Encore un verre de vin rouge, s'il vous plaît
Can one eat here?|On peut manger ici?
Cheers!|Santé!
Croque madame|A toasted cheese-and-ham sandwich on square bread, with an egg on top
Croque monsieur|A toasted cheese-and-ham sandwich on square bread
To drink|Boire
Some french fries (chips)|Des frites
I'm hungry|J'ai faim
I like eating|J'aime manger
I'll take a glass of lemonade|Je prends un verre de limonade
I'm thirsty|J'ai soif
I would like another coffee|Je voudrais encore un café
Ok, very good|D'accord, très bien
Please? (to get the waiter's attention)|S'il vous plaît
Near here|Près d'ici
A sandwich|Un sandwich
The bill, please|L'addition, s'il vous plaît.
The boy|Le garçon
A bag|un sac or un sachet
Can I get a receipt?|Est-ce que je peux avoir le reçu?
Can I get a bag?|Est-ce que je peux avoir en sac?
Can I help you? (I can help you?)|Je peux vous aider?
Can I pay with a credit card?|Est-ce que je peux payer avec une carte de crédit?
Can I see your id please?|Est-ce que je peux voir votre carte d'identité, s'il vous plaît?
Can I try it on?|Est-ce que je peux l'essayer?
Cash|L'espèces
Clothing|vêtements
Do you want a bag?|Voulez-vous un sac?
Here's my id|Voici ma carte d'identité
Here's my passport|Voici mon passeport
I like to shop|J'aime faire du shopping
I'll take it|Je le prends
I pay cash|Je paie en espèces
That costs 30 euros|Ça coûte trente euros
It's too big|C'est trop grand
It's too small|C'est trop petite
That pleases me|ça me plaît
The receipt|Le reçu
To go shopping|Faire du shopping
To pay|Payer
To try|Essayer
To try it|L'essayer
Where can I buy...?|Où est-ce que je peux acheter
Where can I buy coffee?|Où est-ce que je peux acheter du café?
Where can I buy clothing?|Où est-ce que je peux acheter des vêtements?
Where can one buy...? (one)|Où est-ce que on peut acheter...?
To do window shopping|Faire du lèche-vitrine
A ticket|un billet
A coin|Une pièce
How much do you want to change?|Combien voulez-vous changer?
I must change some money|Je dois changer de l'argent
I must go to the market|Je dois aller au marché
I owe you money (informal)|Je te dois de l'argent
I must sign where?|Je dois signer où?
Is there an ATM near here?|Est-qu'il y un distributeur de billets près d'ici?
I want to change some money|Je veux changer de l'argent
I would like to sing a song|Je voudrais chanter une chanson
I would like to change 100 dollars into euros|Je voudrais changer cent dollars en euros
I would like to change some money|Je voudrais changer de l'argent
I would like to change these travellers checks|Je voudrais changer ces chèques de voyage
I would like to withdraw 100 euros|Je voudrais retirer de cent euros
To swallow|Avaler
To change, switch, alter, shift, vary, turn|changer
To sign, subscribe, endorse, autograph|signer
Train ticket|billet de train
Travellers cheques|Les chèques de voyage
Vending machine|distributeur
What do you want? (informal)|Qu'est-ce tu veux
Must I sign? (inversion)|Dois-je signer?
Where is it that I must sign?|Où est-ce que je dois signer?
To withdraw, pull, revoke, take off, take back|retirer
A slice|Une tranche
A bit of food, a morsel|Un morceau
A little bit less|Un peu moins
A bit more|Un peu plus
So, something more?|Alors, encore quelque chose?
Can I taste it?|Je peux y goûter?
How much do you want?|Combien vous en voulez?
I'd like a little of that|Je voudrais un peu de ça
i'd like a morsel of that, please|Je voudrais un morceau de ça
I'd like 300 grams of cheese|Je voudrais trois cents grammes de fromage
Is that all?|C'est tout?
I would like a little ham|Je voudrais un peu de jambon
I would like to buy some apples|Je voudrais acheter des pommes
That's all, thanks|C'est tout, merci
I have red apples and some green apples|J'ai des pommes rouges et des pommes vertes
